iter	Logloss
0	0.6239819094
1	0.5701156132
2	0.5271419077
3	0.4936386835
4	0.4676680937
5	0.4472262186
6	0.4312403313
7	0.4186269415
8	0.4086757454
9	0.4005574883
10	0.3942858548
11	0.3891642834
12	0.3850079007
13	0.3815879749
14	0.378678182
15	0.3763319227
16	0.3743597606
17	0.3731295486
18	0.371895224
19	0.3706097218
20	0.3696609739
21	0.3686962358
22	0.367784356
23	0.3670711796
24	0.3664955406
25	0.3659063769
26	0.3651528737
27	0.364475834
28	0.3638845002
29	0.3634643555
30	0.3629702759
31	0.362385002
32	0.3619687568
33	0.361591017
34	0.3612485032
35	0.3608406866
36	0.3604707022
37	0.3601205347
38	0.3598057048
39	0.3594695221
40	0.3591908385
41	0.358832848
42	0.358488382
43	0.3582307265
44	0.3578848896
45	0.357556845
46	0.3572733464
47	0.3570341613
48	0.3565880573
49	0.3562064035
50	0.3559212482
51	0.3555239578
52	0.355301906
53	0.3547442239
54	0.3543684411
55	0.3541116817
56	0.353872545
57	0.3535046048
58	0.353277491
59	0.3530323138
60	0.3526104882
61	0.3522917393
62	0.3519436306
63	0.3516582864
64	0.351290879
65	0.3509503174
66	0.3506589375
67	0.3503740971
68	0.3500756594
69	0.3497894868
70	0.3494560217
71	0.3491694036
72	0.3487433443
73	0.3483618988
74	0.3479662795
75	0.3476379734
76	0.3473413619
77	0.3471205309
78	0.3468890575
79	0.346581106
80	0.3463243805
81	0.3459618995
82	0.3456589908
83	0.3453821188
84	0.3451574077
85	0.3449512397
86	0.3446133132
87	0.3442209928
88	0.3439851404
89	0.3437108406
90	0.3435325598
91	0.3431053283
92	0.3428861539
93	0.3425941395
94	0.3422118898
95	0.3420199633
96	0.3416888864
97	0.3413918728
98	0.3410980661
99	0.3408781603
100	0.340607542
101	0.340343284
102	0.340110338
103	0.3399119883
104	0.3396365986
105	0.3392731875
106	0.3389609782
107	0.3386608257
108	0.3384593516
109	0.3381210957
110	0.3379946027
111	0.3376753598
112	0.3374110921
113	0.3370534697
114	0.3367814757
115	0.3365037948
116	0.3362378947
117	0.3359264023
118	0.3356990415
119	0.335413271
120	0.3349896579
121	0.3347003368
122	0.3343952385
123	0.3341960701
124	0.3339219254
125	0.3335911512
126	0.3333277506
127	0.3331299022
128	0.332927108
129	0.3325776357
130	0.3323501151
131	0.3320204623
132	0.3317116922
133	0.3314472429
134	0.3312110925
135	0.331019011
136	0.3307123432
137	0.330501646
138	0.3302757094
139	0.3300933208
140	0.3299290491
141	0.3296783883
142	0.3294861639
143	0.3292411998
144	0.3290158711
145	0.3288973975
146	0.3286951895
147	0.3284036182
148	0.3282281494
149	0.327976888
150	0.3278322468
151	0.3276575337
152	0.3274786014
153	0.3271839106
154	0.3268218849
155	0.3265991695
156	0.3263683355
157	0.3261137245
158	0.3259062025
159	0.3256641788
160	0.3255267794
161	0.3253800407
162	0.325143188
163	0.3249581522
164	0.324741504
165	0.3245596168
166	0.3243222167
167	0.3240631079
168	0.3237639993
169	0.3235962859
170	0.3233811515
171	0.3231223455
172	0.3229147315
173	0.3227177187
174	0.3224722871
175	0.3222350759
176	0.3220966375
177	0.3219582331
178	0.3217526294
179	0.3215805562
180	0.3213266694
181	0.3210631961
182	0.3208142502
183	0.3205124168
184	0.3203042578
185	0.320104421
186	0.3198406159
187	0.3196167259
188	0.3193862649
189	0.3191525462
190	0.3189067877
191	0.3187266298
192	0.3185616799
193	0.3183625333
194	0.3180975947
195	0.3179244414
196	0.3177186052
197	0.3174609254
198	0.3172132752
199	0.3170698862
200	0.3169161043
201	0.3166819957
202	0.3164435929
203	0.3162349713
204	0.3160692875
205	0.3158845011
206	0.3156229897
207	0.3154391019
208	0.3151897564
209	0.3149842495
210	0.314872296
211	0.3146601214
212	0.3145126633
213	0.3143132164
214	0.314096825
215	0.3139128791
216	0.3135744706
217	0.3134263926
218	0.3132197256
219	0.3130425057
220	0.3128299217
221	0.3126799835
222	0.3124892099
223	0.312358987
224	0.3121477303
225	0.3118432835
226	0.311604854
227	0.3113969736
228	0.3112338475
229	0.3110965862
230	0.3108480762
231	0.3106877282
232	0.3104422603
233	0.3102285815
234	0.3100319054
235	0.3098312112
236	0.3096140035
237	0.3094795639
238	0.3093021042
239	0.3090748548
240	0.3088498797
241	0.3086416989
242	0.3084479341
243	0.3082428947
244	0.3080609809
245	0.3078910852
246	0.3077112446
247	0.3075254967
248	0.3072987947
249	0.3071615625
250	0.3069715179
251	0.3067546154
252	0.3065168302
253	0.3062831043
254	0.3061001224
255	0.3059250193
256	0.3057153102
257	0.3055852521
258	0.305446075
259	0.3052655635
260	0.3051017156
261	0.3048881628
262	0.3047390941
263	0.3045721581
264	0.3044250052
265	0.3042747691
266	0.3040715899
267	0.3038739789
268	0.3037208194
269	0.3035558573
270	0.3033715699
271	0.3032567851
272	0.3031247675
273	0.3028989519
274	0.3027378119
275	0.3026253619
276	0.3024588667
277	0.3023100983
278	0.3021829006
279	0.3019903371
280	0.3018153963
281	0.301649153
282	0.3014542231
283	0.3013208492
284	0.3011227102
285	0.3009798807
286	0.300836637
287	0.3006474813
288	0.3004727221
289	0.3002904256
290	0.3001077319
291	0.2998750329
292	0.2997271825
293	0.2995923627
294	0.2994640823
295	0.2992600941
296	0.2990666441
297	0.2989027138
298	0.2986984204
299	0.2985149832
300	0.2983732678
301	0.298230988
302	0.2980703227
303	0.2979582117
304	0.2978499422
305	0.2976694186
306	0.297567284
307	0.2973779297
308	0.2972998071
309	0.2971114483
310	0.2969812254
311	0.296870139
312	0.2967223976
313	0.2964878603
314	0.2963358828
315	0.2961801874
316	0.2959769718
317	0.2958192783
318	0.2956352307
319	0.2955152554
320	0.2953652445
321	0.2952823385
322	0.2951685878
323	0.2949919492
324	0.294884009
325	0.294751616
326	0.2946417987
327	0.2944374714
328	0.2943007938
329	0.2941862585
330	0.294033191
331	0.29384257
332	0.293668271
333	0.2935277061
334	0.2933535549
335	0.2931184751
336	0.2929850285
337	0.2928615534
338	0.2927333214
339	0.2926227557
340	0.2924668618
341	0.2923348733
342	0.2921716042
343	0.2920347087
344	0.2918878125
345	0.2917194354
346	0.2915934971
347	0.2914316038
348	0.291344665
349	0.2911780439
350	0.290964014
351	0.2908287412
352	0.2906806582
353	0.2905295865
354	0.2904091027
355	0.2902624173
356	0.290125156
357	0.2900391352
358	0.2898849318
359	0.2897043912
360	0.2895841592
361	0.2894419885
362	0.2892853268
363	0.289108039
364	0.2889877852
365	0.2888602823
366	0.2887745327
367	0.2886698889
368	0.2885691349
369	0.2884166439
370	0.2882746161
371	0.2881800479
372	0.2881134832
373	0.2880225578
374	0.2879015532
375	0.2878056263
376	0.2877329121
377	0.2875776212
378	0.287451712
379	0.2873149254
380	0.2872202652
381	0.2870910572
382	0.2870030309
383	0.2868087672
384	0.2866532656
385	0.2864804126
386	0.2862982226
387	0.2861861408
388	0.2860424393
389	0.2859288267
390	0.2858538286
391	0.285710115
392	0.2855733744
393	0.285404806
394	0.2852885825
395	0.2851730201
396	0.2850178722
397	0.2849088203
398	0.2847754197
399	0.2846776859
400	0.2845344204
401	0.2844376143
402	0.2843152073
403	0.2842038957
404	0.2840621997
405	0.2839145915
406	0.2837941585
407	0.2837118845
408	0.283588843
409	0.2834184919
410	0.2832601856
411	0.2831308008
412	0.2829895625
413	0.2828512428
414	0.2826938423
415	0.282561132
416	0.28242242
417	0.282317454
418	0.2821995908
419	0.2820952618
420	0.281989189
421	0.2818826536
422	0.2817718264
423	0.2816356017
424	0.2815101624
425	0.2813881623
426	0.2812994336
427	0.2812014867
428	0.2810991511
429	0.2809595574
430	0.2807930453
431	0.2807030887
432	0.2805170356
433	0.280373104
434	0.2802774605
435	0.2801869783
436	0.2800143481
437	0.2798689924
438	0.2797804745
439	0.2796843756
440	0.2794907609
441	0.2793445696
442	0.2792569115
443	0.2791318088
444	0.2790271626
445	0.2788756767
446	0.2787673611
447	0.2786412969
448	0.2785212708
449	0.2783881318
450	0.2782827613
451	0.2781328934
452	0.2780415368
453	0.2779126364
454	0.2777738153
455	0.2776696414
456	0.2775382414
457	0.2773993356
458	0.2772810291
459	0.2771700517
460	0.2770185852
461	0.2769054958
462	0.2767800903
463	0.2765903969
464	0.276470986
465	0.2763726637
466	0.2762613835
467	0.2761991955
468	0.2761351207
469	0.2760160367
470	0.2759289091
471	0.2757973371
472	0.2756476896
473	0.2755246262
474	0.2754021829
475	0.2752914501
476	0.2751468089
477	0.2749998183
478	0.2749203637
479	0.2748058501
480	0.274692487
481	0.274572439
482	0.2744561477
483	0.2743798077
484	0.2743226236
485	0.2742119368
486	0.2740474737
487	0.2739117238
488	0.2737955705
489	0.2737005082
490	0.2735773553
491	0.2734837729
492	0.2733451359
493	0.2732653421
494	0.2731442818
495	0.2730420479
496	0.272936365
497	0.2728168112
498	0.2727003431
499	0.2725698683
500	0.2724898251
501	0.2723429483
502	0.2722846888
503	0.2721902078
504	0.2721059188
505	0.2719625031
506	0.2718613398
507	0.2717849538
508	0.2717373706
509	0.271638387
510	0.2715180315
511	0.2714557902
512	0.2713619438
513	0.2712760562
514	0.2711647349
515	0.2710820371
516	0.2709541079
517	0.2708716741
518	0.2707536122
519	0.2706354002
520	0.2705581035
521	0.2704539901
522	0.2703250946
523	0.2702029952
524	0.2700986178
525	0.2699942574
526	0.2699216352
527	0.2698195563
528	0.2697376336
529	0.2696392919
530	0.2695462278
531	0.2693879482
532	0.2693087793
533	0.2692376467
534	0.2691340879
535	0.2690207272
536	0.2689700511
537	0.2688646105
538	0.2687466576
539	0.2686012438
540	0.2685401723
541	0.2684577046
